IDs,Product Date,Opportunity Owner,Agency Holding Company,Account Name,Opportunity Name,LineItemID,Segment Name,Endpoint
1003089526,2018-05-01,Ivy Levine,Aegis Group,Ben & Jerry's,Ben&Jerry_Commuter_2018_Q2Q3_Seg,00k0Z00000fxJ5JQAU,ShareThis > Interest from Social Data > Ben & Jerry's > Vertical > Puzzles & Brainteasers,LiveRamp
1003089516,2018-05-01,Ivy Levine,Aegis Group,Ben & Jerry's,Ben&Jerry_Commuter_2018_Q2Q3_Seg,00k0Z00000fxJ3gQAE,ShareThis > Interest from Social Data > Ben & Jerry's > Vertical > Roleplaying Games,LiveRamp
1003089496,2018-05-01,Ivy Levine,Aegis Group,Ben & Jerry's,Ben&Jerry_Commuter_2018_Q2Q3_Seg,00k0Z00000fxJ4oQAE,ShareThis > Interest from Social Data > Ben & Jerry's > Vertical > Table Games,LiveRamp
1003089476,2018-05-01,Ivy Levine,Aegis Group,Ben & Jerry's,Ben&Jerry_Commuter_2018_Q2Q3_Seg,00k0Z00000fxJ5hQAE,ShareThis > Interest from Social Data > Ben & Jerry's > Vertical > Tile Games,LiveRamp
1003089456,2018-05-01,Ivy Levine,Aegis Group,Ben & Jerry's,Ben&Jerry_Commuter_2018_Q2Q3_Seg,00k0Z00000fxJ58QAE,ShareThis > Interest from Social Data > Ben & Jerry's > Vertical > Word Games,LiveRamp
1003089666,2018-05-01,Ivy Levine,Aegis Group,Ben & Jerry's,Ben&Jerry_Commuter_2018_Q2Q3_Seg,00k0Z00000fxJ4ZQAU,ShareThis > Interest from Social Data > Ben & Jerry's > Vertical > Broadcast & Network News,LiveRamp
1003089656,2018-05-01,Ivy Levine,Aegis Group,Ben & Jerry's,Ben&Jerry_Commuter_2018_Q2Q3_Seg,00k0Z00000fxJ5rQAE,ShareThis > Interest from Social Data > Ben & Jerry's > Vertical > Business News,LiveRamp
1003089596,2018-05-01,Ivy Levine,Aegis Group,Ben & Jerry's,Ben&Jerry_Commuter_2018_Q2Q3_Seg,00k0Z00000fxJ5wQAE,ShareThis > Interest from Social Data > Ben & Jerry's > Vertical > Gossip & Tabloid News,LiveRamp
1003089586,2018-05-01,Ivy Levine,Aegis Group,Ben & Jerry's,Ben&Jerry_Commuter_2018_Q2Q3_Seg,00k0Z00000fxJ6LQAU,ShareThis > Interest from Social Data > Ben & Jerry's > Vertical > Journalism & News Industry,LiveRamp
1003089576,2018-05-01,Ivy Levine,Aegis Group,Ben & Jerry's,Ben&Jerry_Commuter_2018_Q2Q3_Seg,00k0Z00000fxJ4eQAE,ShareThis > Interest from Social Data > Ben & Jerry's > Vertical > Local News,LiveRamp
1003089566,2018-05-01,Ivy Levine,Aegis Group,Ben & Jerry's,Ben&Jerry_Commuter_2018_Q2Q3_Seg,00k0Z00000fxJ4yQAE,ShareThis > Interest from Social Data > Ben & Jerry's > Vertical > Newspapers,LiveRamp
1003089536,2018-05-01,Ivy Levine,Aegis Group,Ben & Jerry's,Ben&Jerry_Commuter_2018_Q2Q3_Seg,00k0Z00000fxJ5DQAU,ShareThis > Interest from Social Data > Ben & Jerry's > Vertical > Politics,LiveRamp
1003089506,2018-05-01,Ivy Levine,Aegis Group,Ben & Jerry's,Ben&Jerry_Commuter_2018_Q2Q3_Seg,00k0Z00000fxJ5NQAU,ShareThis > Interest from Social Data > Ben & Jerry's > Vertical > Sports News,LiveRamp
1003089486,2018-05-01,Ivy Levine,Aegis Group,Ben & Jerry's,Ben&Jerry_Commuter_2018_Q2Q3_Seg,00k0Z00000fxJ5cQAE,ShareThis > Interest from Social Data > Ben & Jerry's > Vertical > Technology News,LiveRamp
