Month,Publisher,Segment,Revenue,Network ,Platform
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Buick - Regal, 0.06 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Buick - Enclave, 0.21 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Volvo - S60, 0.45 ,,
2018-03,ShareThis - UK ,eXelate Intent - Services - Arts and Entertainment, 1.80 ,,
2018-03,ShareThis - UK ,eXelate Intent - Shopping - Mobile - By Make - Samsung, 0.80 ,,
2018-03,ShareThis - UK ,"eXelate Intent - Services - Biz , Professional Service", 1.42 ,,
2018-03,ShareThis - UK ,eXelate Intent - Services - Finance and Insurance, 2.16 ,,
2018-03,ShareThis - UK ,"eXelate Intent - Services - Contractors, Construction", 0.44 ,,
2018-03,ShareThis - UK ,eXelate Intent - Services - Home and Garden, 2.85 ,,
2018-03,ShareThis - UK ,"eXelate Intent - Services - Manufacturing, Production, Wholesale", 0.71 ,,
2018-03,ShareThis - UK ,eXelate Intent - Services - Legal, 1.40 ,,
2018-03,ShareThis - UK ,eXelate Intent - Services - Personal Services and Care, 1.85 ,,
2018-03,ShareThis - UK ,"eXelate Intent - Services - Real Estate, Moving, Storage", 1.33 ,,
2018-03,ShareThis - UK ,eXelate Intent - Services - Pets, 1.22 ,,
2018-03,ShareThis - UK ,eXelate Intent - Services - Religious Organizations, 0.84 ,,
2018-03,ShareThis - UK ,eXelate Intent - Services - Restaurants, 2.25 ,,
2018-03,ShareThis - UK ,eXelate Intent - Services - Retail Shopping, 0.75 ,,
2018-03,ShareThis - UK ,eXelate Intent - Services - Sports and Recreation, 2.52 ,,
2018-03,ShareThis - UK ,eXelate Intent - Services - Telecommunications, 1.24 ,,
2018-03,ShareThis - UK ,eXelate Intent - Services - Travel and Transportation, 0.71 ,,
2018-03,ShareThis - UK ,eXelate Intent - Services - Finance and Insurance - Insurance, 1.03 ,,
2018-03,ShareThis - UK ,eXelate Intent - Services - Finance and Insurance - Banking, 0.67 ,,
2018-03,ShareThis - UK ,eXelate Intent - Travel - Destination - Caribbean, 0.48 ,,
2018-03,ShareThis - UK ,"eXelate Intent - Shopping - Personal Tech - Computers - Netbooks, Tablets and iPads", 0.19 ,,
2018-03,ShareThis - UK ,eXelate Intent - Services - Finance and Insurance - Auto Insurance, 0.40 ,,
2018-03,ShareThis - UK ,eXelate Intent - Services - Finance and Insurance - Credit Cards, 0.78 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - All - Type - Off Road Vehicles, 0.89 ,,
2018-03,ShareThis - UK ,eXelate Intent - Travel - Cruises, 0.61 ,,
2018-03,ShareThis - UK ,eXelate Intent - Services - Pets - Dogs, 0.91 ,,
2018-03,ShareThis - UK ,eXelate Intent - Services - Pets - Cats, 0.88 ,,
2018-03,ShareThis - UK ,eXelate Intent - Services - Restaurants - Pizza, 0.22 ,,
2018-03,ShareThis - UK ,eXelate Intent - Services - Arts and Entertainment - Movies, 1.40 ,,
2018-03,ShareThis - UK ,eXelate Intent - CPG, 5.89 ,,
2018-03,ShareThis - UK ,eXelate Intent - CPG - Beverages, 4.43 ,,
2018-03,ShareThis - UK ,eXelate Intent - Shopping - Retail, 4.66 ,,
2018-03,ShareThis - UK ,eXelate Intent - CPG - Cleaning and Laundry, 0.77 ,,
2018-03,ShareThis - UK ,eXelate Intent - CPG - Paper and Plastic Products, 2.16 ,,
2018-03,ShareThis - UK ,eXelate Intent - CPG - Health and Beauty, 4.13 ,,
2018-03,ShareThis - UK ,eXelate Intent - CPG - Infant Care, 0.65 ,,
2018-03,ShareThis - UK ,eXelate Intent - CPG - Pet Supplies, 1.03 ,,
2018-03,ShareThis - UK ,eXelate Intent - CPG - Green Products, 1.47 ,,
2018-03,ShareThis - UK ,eXelate Intent - CPG - Canned Goods, 1.14 ,,
2018-03,ShareThis - UK ,eXelate Intent - CPG - Dairy, 3.56 ,,
2018-03,ShareThis - UK ,eXelate Intent - CPG - Frozen Foods, 3.10 ,,
2018-03,ShareThis - UK ,eXelate Intent - CPG - Snack Desserts, 2.23 ,,
2018-03,ShareThis - UK ,eXelate Intent - Shopping - Retail - Grocery Stores, 0.80 ,,
2018-03,ShareThis - UK ,eXelate Intent - Shopping - Retail - Drug Stores, 0.92 ,,
2018-03,ShareThis - UK ,eXelate Intent - Shopping - Retail - Home Improvement, 1.06 ,,
2018-03,ShareThis - UK ,eXelate Intent - Shopping - Retail - Electronics, 1.10 ,,
2018-03,ShareThis - UK ,eXelate Intent - Shopping - Retail - Children Stores, 0.71 ,,
2018-03,ShareThis - UK ,eXelate Intent - Shopping - Retail - Pet Stores, 1.33 ,,
2018-03,ShareThis - UK ,eXelate Intent - Shopping - Retail - Auto Parts Stores, 1.18 ,,
2018-03,ShareThis - UK ,eXelate Intent - CPG - Groceries, 3.81 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - All - Type - RVs, 0.39 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Ford - Fusion, 0.64 ,,
2018-03,ShareThis - UK ,"eXelate Intent - Auto Buyers - All - New - Budget 0-19,999", 1.31 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Ford - Taurus, 1.36 ,,
2018-03,ShareThis - UK ,"eXelate Intent - Auto Buyers - All - New - Budget 20,000-29,999", 1.37 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Current Vehicle Age - 4-5 years, 2.51 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Current Vehicle Age - 6+ years, 2.51 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - All - Type - Motorcycle, 0.67 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Bentley, 0.11 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - All - Type - Commercial, 0.67 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Maserati, 0.94 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - RAM, 0.59 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - All - Type - Crossover, 3.62 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Audi - A3, 2.18 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Audi - Q, 2.13 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Rolls Royce, 0.75 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Audi - A6, 2.05 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - BMW - X Series, 1.50 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - BMW - 5 Series, 1.91 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Chevrolet - Traverse, 1.04 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Aston Martin, 0.53 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Chevrolet - Cruze, 0.65 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Chevrolet - Volt, 0.87 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Chevrolet - Cobalt, 0.16 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Chevrolet - Suburban, 0.97 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Chevrolet - Corvette, 0.09 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Chevrolet - Malibu, 0.16 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Chrysler - 200, 1.26 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Ford - Fiesta, 2.27 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - GMC - Terrain, 0.96 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Honda - Fit, 1.03 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Honda - Ridgeline, 1.06 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Hyundai - Elantra, 0.74 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Make - Hyundai - Sonata, 1.08 ,,
2018-03,ShareThis - UK ,eXelate Intent - Auto Buyers - Manufacturers - US - Chrylser, 3.48 ,,
