REPORT_DATE,PLATFORM_ID,PLATFORM,PARTNER_NAME,BUYER_NAME,SOURCE,ADVERTISER_NAME,PUBLISHER,AD_ACCOUNT_ID,CAMPAIGN_ID,CAMPAIGN_NAME,CAMPAIGN_START_DATE,CAMPAIGN_END_DATE,DEVICE,AD_FORMAT,COUNTRY_DATA,COUNTRY_USE,DATA_PROVIDER_ID,LIVERAMP_SEGMENT_ID,SEGMENT_NAME,GROSS_DATA_CPM,NET_CPM,IMPRESSIONS,CLICKS,GROSS_MEDIA_SPEND,TOTAL_DATA_REVENUE_EARNED,DATA_PROVIDER_REVENUE,LIVERAMP_REVENUE,DATA_USE,DATA_TYPE,DATA_PROVIDER,REV_SHARE_PREMIUM_BASIC,CONVERSIONS,ATTRIBUTABLE_REVENUE,AOFT,SOURCE_ID,UPLOAD_DATE
30-JUN-18,506926,Centro (SiteScout),,,,medela.com                                                                                                                     ,,96541,697846,,,,,,USA,,ShareThis,1002446286,Interest from Social Activity > Medela > Custom > Second Trimester,1,1,1254800,,,1254.8,1066.58,188.22,,Third Party,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,47104,DataXu,,,,M&T Bank/Wilmington Trust,,,,Wilmington Trust Wealth Advisory 2018 ,,,,,USA,,ShareThis,1001014109,LiveRamp_ShareThis_[1001014109]_Law & Government_Legal_Family Law,,0.95,1984,,,1.88,1.6,0.28,,,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,394608,Doubleclick,,Google DDP Reseller System Account,,,,,475411223,,5/16/17,1/18/38,,,USA,,,1001326809,ShareThis > Seasonal > Summer Fun,,0.95,9,0,,0.01,0.01,0,,,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,394608,Doubleclick,,Fisher Interactive - DFP,,,,,458066573,,4/5/18,1/18/38,,,USA,,,1001290159,ShareThis > Autos & Vehicles > Trucks & Suvs,,0.95,17,0,,0.01,0.01,0,,,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,394608,Doubleclick,,Google DDP Reseller System Account,,,,,455327329,,2/6/17,1/18/38,,,USA,,,1001266979,ShareThis > Autos and Vehicles > Vehicle Shopping,,0.95,7,0,,0.01,0.01,0,,,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,394608,Doubleclick,,Google DDP Reseller System Account,,,,,455175812,,2/6/17,1/18/38,,,USA,,,1001266949,ShareThis > Business and Industrial > Aerospace and Defense,,0.95,12,0,,0.01,0.01,0,,,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,394608,Doubleclick,,Google DDP Reseller System Account,,,,,455175833,,2/6/17,1/18/38,,,USA,,,1001266649,ShareThis > Internet and Telecom > Web Services > Search Engine Optimization and Marketing,,0.95,7,0,,0.01,0.01,0,,,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,394608,Doubleclick,,Google DDP Reseller System Account,,,,,455175860,,2/6/17,1/18/38,,,USA,,,1001266419,ShareThis > Science > Engineering and Technology > Robotics,,0.95,10,0,,0.01,0.01,0,,,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,394608,Doubleclick,,Nueva WalMart de Mexico S de RL de CV - DFP,,,,,436976158,,6/18/17,1/18/38,,,USA,,,1001013239,ShareThis > Food & Drink > Cooking & Recipes > Bbq & Grilling,,17.15,14,0,,0.01,0.01,0,,,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,394608,Doubleclick,,Economist 2 - DFP (XFP),,,,,437687255,,6/29/17,1/18/38,,,USA,,,1001013109,ShareThis > Finance > Banking > Savings Accounts,,0.95,7,0,,0.01,0.01,0,,,SHARETHIS,,,,,,30-JUN-18
