Year,Quarter,Month,Endpoint,Country,Region,Integration Partner,Sale Type,Branding,Segment Type,Partner Name,Advertiser Name,Buyer Name,Segment Name,Revenue,Segment ID,Vertical Segment Name,Opportunity Owner,Agency Holding Company,Account Name,Opportunity Name,L1,L2,L3,L4,L5,L6
2018,Q2,May,Centro (SiteScout),N/A,US,Liveramp,Direct Sales,Branded,Vertical,,cnstrial.com                                                                                                                   ,N/A,Migraines,4.47,1003084686,Migraines,Denise Shipley,Not Applicable,CNS Trials,CNS Trials_CNS Trials Campaign_Centro_2018_Q2_Segments,Migraines,,,,,
2018,Q2,May,Centro (SiteScout),N/A,US,Liveramp,Direct Sales,Branded,Vertical,,southcentralhondadealers.com                                                                                                   ,N/A,ShareThis > Interest from Social Activity > Centro > Vertical > Vehicle Fuels & Lubricants,4.64,1002823846,Centro > Vertical > Vehicle Fuels & Lubricants,-,-,-,-,Centro,Vertical,Vehicle Fuels & Lubricants,,,
2018,Q2,May,Centro (SiteScout),N/A,US,Liveramp,Direct Sales,Branded,Vertical,,cnstrial.com                                                                                                                   ,N/A,Foundations & Medical Research,5.78,1003084676,Foundations & Medical Research,Denise Shipley,Not Applicable,CNS Trials,CNS Trials_CNS Trials Campaign_Centro_2018_Q2_Segments,Foundations & Medical Research,,,,,
2018,Q2,May,Centro (SiteScout),N/A,US,Liveramp,Direct Sales,Branded,Vertical,,alamotoyota.com                                                                                                                ,N/A,ShareThis > Interest from Social Activity > Centro > Vertical > Toyota,6.29,1002823806,Centro > Vertical > Toyota,-,-,-,-,Centro,Vertical,Toyota,,,
2018,Q2,May,Centro (SiteScout),N/A,US,Liveramp,Direct Sales,Branded,Vertical,,cnstrial.com                                                                                                                   ,N/A,Hospitals & Treatments,7.18,1003084666,Hospitals & Treatments,Denise Shipley,Not Applicable,CNS Trials,CNS Trials_CNS Trials Campaign_Centro_2018_Q2_Segments,Hospitals & Treatments,,,,,
2018,Q2,May,Centro (SiteScout),N/A,US,Liveramp,Direct Sales,Branded,Vertical,,riverviewtoyota.com                                                                                                            ,N/A,ShareThis > Interest from Social Activity > Centro > Vertical > Vehicle Shopping,7.76,1002823866,Centro > Vertical > Vehicle Shopping,-,-,-,-,Centro,Vertical,Vehicle Shopping,,,
2018,Q2,May,Centro (SiteScout),N/A,US,Liveramp,Direct Sales,Branded,Custom,,southcentralhondadealers.com                                                                                                   ,N/A,ShareThis > Interest from Social Activity > Centro > Vertical > Custom & Performance Vehicles,8.79,1002823666,Centro > Vertical > Custom & Performance Vehicles,-,-,-,-,Centro,Vertical,Custom & Performance Vehicles,,,
2018,Q2,May,Centro (SiteScout),N/A,US,Liveramp,Direct Sales,Branded,Vertical,,sigmaphoto.com                                                                                                                 ,N/A,ShareThis > Interest from Social Activity > Sigma Photo > Vertical > Camera & Photo Equipment,9.4,1002729626,Sigma Photo > Vertical > Camera & Photo Equipment,Denise Shipley,Not Applicable,Sigma,Centro_Sigmaphoto_Centro Basis DSP_2018_Q1-Q4_Segments,Sigma Photo,Vertical,Camera & Photo Equipment,,,
2018,Q2,May,Centro (SiteScout),N/A,US,Liveramp,Direct Sales,Branded,Vertical,,sigmaphoto.com                                                                                                                 ,N/A,ShareThis > Interest from Social Activity > Sigma Photo > Vertical > Photographic & Digital Arts,9.44,1002729636,Sigma Photo > Vertical > Photographic & Digital Arts,Denise Shipley,Not Applicable,Sigma,Centro_Sigmaphoto_Centro Basis DSP_2018_Q1-Q4_Segments,Sigma Photo,Vertical,Photographic & Digital Arts,,,
2018,Q2,May,Centro (SiteScout),N/A,US,Liveramp,Direct Sales,Branded,Vertical,,riversideautoplexofpoteau.com                                                                                                  ,N/A,ShareThis > Interest from Social Activity > Centro > Vertical > Ford,10.97,1002823706,Centro > Vertical > Ford,-,-,-,-,Centro,Vertical,Ford,,,
2018,Q2,May,Centro (SiteScout),N/A,US,Liveramp,Direct Sales,Branded,Custom,,sigmaphoto.com                                                                                                                 ,N/A,ShareThis > Interest from Social Activity > Sigma Photo > Custom > Sigma,11.09,1002729606,Sigma Photo > Custom > Sigma,Denise Shipley,Not Applicable,Sigma,Centro_Sigmaphoto_Centro Basis DSP_2018_Q1-Q4_Segments,Sigma Photo,Custom,Sigma,,,
2018,Q2,May,Centro (SiteScout),N/A,US,Liveramp,Direct Sales,Branded,Vertical,,cnstrial.com                                                                                                                   ,N/A,Health Conditions,11.88,1003084656,Health Conditions,Denise Shipley,Not Applicable,CNS Trials,CNS Trials_CNS Trials Campaign_Centro_2018_Q2_Segments,Health Conditions,,,,,
2018,Q2,May,Centro (SiteScout),N/A,US,Liveramp,Direct Sales,Branded,Custom,,sigmaphoto.com                                                                                                                 ,N/A,ShareThis > Interest from Social Activity > Sigma Photo > Custom > Professional Photographers,11.91,1002729596,Sigma Photo > Custom > Professional Photographers,Denise Shipley,Not Applicable,Sigma,Centro_Sigmaphoto_Centro Basis DSP_2018_Q1-Q4_Segments,Sigma Photo,Custom,Professional Photographers,,,
2018,Q2,May,Centro (SiteScout),N/A,US,Liveramp,Direct Sales,Branded,Vertical,,centraltexashondadealers.com                                                                                                   ,N/A,ShareThis > Interest from Social Activity > Centro > Vertical > Honda,12.82,1002823726,Centro > Vertical > Honda,-,-,-,-,Centro,Vertical,Honda,,,
2018,Q2,May,Centro (SiteScout),N/A,US,Liveramp,BD,Branded,Vertical,,bankofannarbor.com                                                                                                             ,N/A,ShareThis_US > Real Estate > Real Estate Listings,16.02,1001014549,Real Estate > Real Estate Listings,-,-,-,-,Real Estate,Real Estate Listings,,,,
2018,Q2,May,Centro (SiteScout),N/A,US,Liveramp,Direct Sales,Branded,Vertical,,buickgmcofenglewood.com                                                                                                        ,N/A,ShareThis > Interest from Social Activity > Centro > Vertical > Trucks & SUVs,19.2,1002823826,Centro > Vertical > Trucks & SUVs,-,-,-,-,Centro,Vertical,Trucks & SUVs,,,
2018,Q2,May,Centro (SiteScout),N/A,US,Liveramp,Direct Sales,Branded,Custom,,sigmaphoto.com                                                                                                                 ,N/A,ShareThis > Interest from Social Activity > Sigma Photo > Custom > Competitors,23.04,1002729616,Sigma Photo > Custom > Competitors,Denise Shipley,Not Applicable,Sigma,Centro_Sigmaphoto_Centro Basis DSP_2018_Q1-Q4_Segments,Sigma Photo,Custom,Competitors,,,
2018,Q2,May,Centro (SiteScout),N/A,US,Liveramp,Direct Sales,Branded,Custom,,sigmaphoto.com                                                                                                                 ,N/A,ShareThis > Interest from Social Activity > Sigma Photo > Custom > Hobby Photographers,23.26,1002729586,Sigma Photo > Custom > Hobby Photographers,Denise Shipley,Not Applicable,Sigma,Centro_Sigmaphoto_Centro Basis DSP_2018_Q1-Q4_Segments,Sigma Photo,Custom,Hobby Photographers,,,
2018,Q2,May,Centro (SiteScout),N/A,US,Liveramp,Direct Sales,Branded,Custom,,bitcoinira.com                                                                                                                 ,N/A,ShareThis > Interest from Social Activity > BitcoinIRA > Custom > BitcoinIRA,72.89,1003203609,BitcoinIRA > Custom > BitcoinIRA,Denise Shipley,Not Applicable,BitcoinIRA,Bitcoin IRA_Bitcoin IRA_Centro_2018_Q2_Segments,BitcoinIRA,Custom,BitcoinIRA,,,
2018,Q2,May,Centro (SiteScout),N/A,US,Liveramp,BD,Branded,Vertical,,leesfamousrecpie.com                                                                                                           ,N/A,ShareThis_US > Food & Drink > Restaurants > Fast Food,150.36,1001013369,Food & Drink > Restaurants > Fast Food,-,-,-,-,Food & Drink,Restaurants,Fast Food,,,
2018,Q2,May,Centro (SiteScout),N/A,US,Liveramp,Direct Sales,Branded,Custom,,medela.com                                                                                                                     ,N/A,Interest from Social Activity > Medela > Custom > Second Trimester,1066.58,1002446286,Medela > Custom > Second Trimester,Denise Shipley,Not Applicable,Medela,Centro_Medela Breastpump_Centro Basis DSP_2017-2018_Q4-Q1_Segments,Medela,Custom,Second Trimester,,,
2018,Q2,May,DataXu,N/A,US,Liveramp,BD,Branded,Vertical,,M&T Bank/Wilmington Trust,N/A,LiveRamp_ShareThis_[1001014109]_Law & Government_Legal_Family Law,1.6,1001014109,LiveRamp_ShareThis_[1001014109]_Law & Government_Legal_Family Law,-,-,-,-,LiveRamp_ShareThis_[1001014109]_Law & Government_Legal_Family Law,,,,,
2018,Q2,May,Doubleclick,N/A,US,Liveramp,BD,Branded,Seasonal,,Google DDP Reseller System Account,N/A,ShareThis > Seasonal > Summer Fun,0.01,1001326809,Seasonal > Summer Fun,-,-,-,-,Seasonal,Summer Fun,,,,
2018,Q2,May,Doubleclick,N/A,US,Liveramp,BD,Branded,Vertical,,Fisher Interactive - DFP,N/A,ShareThis > Autos & Vehicles > Trucks & Suvs,0.01,1001290159,Autos & Vehicles > Trucks & Suvs,-,-,-,-,Autos & Vehicles,Trucks & Suvs,,,,
2018,Q2,May,Doubleclick,N/A,US,Liveramp,BD,Branded,Vertical,,Google DDP Reseller System Account,N/A,ShareThis > Autos and Vehicles > Vehicle Shopping,0.01,1001266979,Autos and Vehicles > Vehicle Shopping,-,-,-,-,Autos and Vehicles,Vehicle Shopping,,,,
2018,Q2,May,Doubleclick,N/A,US,Liveramp,BD,Branded,Vertical,,Google DDP Reseller System Account,N/A,ShareThis > Business and Industrial > Aerospace and Defense,0.01,1001266949,Business and Industrial > Aerospace and Defense,-,-,-,-,Business and Industrial,Aerospace and Defense,,,,
2018,Q2,May,Doubleclick,N/A,US,Liveramp,BD,Branded,Vertical,,Google DDP Reseller System Account,N/A,ShareThis > Internet and Telecom > Web Services > Search Engine Optimization and Marketing,0.01,1001266649,Internet and Telecom > Web Services > Search Engine Optimization and Marketing,-,-,-,-,Internet and Telecom,Web Services,Search Engine Optimization and Marketing,,,
2018,Q2,May,Doubleclick,N/A,US,Liveramp,BD,Branded,Vertical,,Google DDP Reseller System Account,N/A,ShareThis > Science > Engineering and Technology > Robotics,0.01,1001266419,Science > Engineering and Technology > Robotics,-,-,-,-,Science,Engineering and Technology,Robotics,,,
2018,Q2,May,Doubleclick,N/A,US,Liveramp,BD,Branded,Vertical,,Nueva WalMart de Mexico S de RL de CV - DFP,N/A,ShareThis > Food & Drink > Cooking & Recipes > Bbq & Grilling,0.01,1001013239,Food & Drink > Cooking & Recipes > Bbq & Grilling,-,-,-,-,Food & Drink,Cooking & Recipes,Bbq & Grilling,,,
2018,Q2,May,Doubleclick,N/A,US,Liveramp,BD,Branded,Vertical,,Economist 2 - DFP (XFP),N/A,ShareThis > Finance > Banking > Savings Accounts,0.01,1001013109,Finance > Banking > Savings Accounts,-,-,-,-,Finance,Banking,Savings Accounts,,,
2018,Q2,May,Doubleclick,N/A,US,Liveramp,BD,Branded,Vertical,,Google DDP Reseller System Account,N/A,ShareThis > Finance > Banking > Savings Accounts,0.01,1001013109,Finance > Banking > Savings Accounts,-,-,-,-,Finance,Banking,Savings Accounts,,,
2018,Q2,May,Doubleclick,N/A,US,Liveramp,BD,Branded,Vertical,,KSL.com - DFP,N/A,ShareThis > Autos & Vehicles > Vehicle Brands > Subaru,0.01,1001012529,Autos & Vehicles > Vehicle Brands > Subaru,-,-,-,-,Autos & Vehicles,Vehicle Brands,Subaru,,,
2018,Q2,May,Doubleclick,N/A,US,Liveramp,BD,Branded,Vertical,,Google DDP Reseller System Account,N/A,ShareThis > Autos & Vehicles > Vehicle Brands > Honda,0.01,1001012499,Autos & Vehicles > Vehicle Brands > Honda,-,-,-,-,Autos & Vehicles,Vehicle Brands,Honda,,,
2018,Q2,May,Doubleclick,N/A,US,Liveramp,BD,Branded,Vertical,,Google DDP Reseller System Account,N/A,ShareThis > Autos & Vehicles > Campers & Rvs,0.01,1001012439,Autos & Vehicles > Campers & Rvs,-,-,-,-,Autos & Vehicles,Campers & Rvs,,,,
2018,Q2,May,Doubleclick,N/A,US,Liveramp,BD,Branded,Vertical,,Google DDP Reseller System Account,N/A,ShareThis > Arts & Entertainment > Comics & Animation > Anime & Manga,0.01,1001012139,Arts & Entertainment > Comics & Animation > Anime & Manga,-,-,-,-,Arts & Entertainment,Comics & Animation,Anime & Manga,,,
2018,Q2,May,Doubleclick,N/A,US,Liveramp,BD,Branded,Vertical,,Google DDP Reseller System Account,N/A,ShareThis > Arts & Entertainment > Events & Listings > Expos & Conventions,0.01,1001012089,Arts & Entertainment > Events & Listings > Expos & Conventions,-,-,-,-,Arts & Entertainment,Events & Listings,Expos & Conventions,,,
2018,Q2,May,Doubleclick,N/A,US,Liveramp,BD,Branded,Vertical,,Google DDP Reseller System Account,N/A,ShareThis > Arts & Entertainment > Events & Listings > Movie Listings & Theater Showtimes,0.01,1001012069,Arts & Entertainment > Events & Listings > Movie Listings & Theater Showtimes,-,-,-,-,Arts & Entertainment,Events & Listings,Movie Listings & Theater Showtimes,,,
2018,Q2,May,Doubleclick,N/A,US,Liveramp,BD,Branded,Vertical,,Google DDP Reseller System Account,N/A,ShareThis > Arts & Entertainment > Movies > Science Fiction & Fantasy Films,0.01,1001011999,Arts & Entertainment > Movies > Science Fiction & Fantasy Films,-,-,-,-,Arts & Entertainment,Movies,Science Fiction & Fantasy Films,,,
2018,Q2,May,Doubleclick,N/A,US,Liveramp,BD,Branded,Vertical,,Google DDP Reseller System Account,N/A,ShareThis > Arts & Entertainment > Tv & Video > Tv Commercials,0.01,1001011879,Arts & Entertainment > Tv & Video > Tv Commercials,-,-,-,-,Arts & Entertainment,Tv & Video,Tv Commercials,,,
2018,Q2,May,Doubleclick,N/A,US,Liveramp,BD,Branded,Vertical,,upgrade_30127,N/A,ShareThis > Business & Industrial > Energy & Utilities > Electricity,0.01,1001011429,Business & Industrial > Energy & Utilities > Electricity,-,-,-,-,Business & Industrial,Energy & Utilities,Electricity,,,
2018,Q2,May,Doubleclick,N/A,US,Liveramp,BD,Branded,Vertical,,Nueva WalMart de Mexico S de RL de CV - DFP,N/A,ShareThis > Food & Drink > Cooking & Recipes,0.01,1001011019,Food & Drink > Cooking & Recipes,-,-,-,-,Food & Drink,Cooking & Recipes,,,,
2018,Q2,May,Doubleclick,N/A,US,Liveramp,BD,Branded,Vertical,,Google DDP Reseller System Account,N/A,ShareThis > People & Society > Family & Relationships > Friendship,0.01,1001009919,People & Society > Family & Relationships > Friendship,-,-,-,-,People & Society,Family & Relationships,Friendship,,,
2018,Q2,May,Doubleclick,N/A,US,Liveramp,BD,Branded,Vertical,,Google DDP Reseller System Account,N/A,ShareThis > Shopping > Gifts & Special Event Items > Gifts,0.01,1001009419,Shopping > Gifts & Special Event Items > Gifts,-,-,-,-,Shopping,Gifts & Special Event Items,Gifts,,,
2018,Q2,May,Doubleclick,N/A,US,Liveramp,BD,Branded,Vertical,,Google DDP Reseller System Account,N/A,ShareThis > Autos & Vehicles > Vehicle Brands > Bmw,0.02,1001290179,Autos & Vehicles > Vehicle Brands > Bmw,-,-,-,-,Autos & Vehicles,Vehicle Brands,Bmw,,,
2018,Q2,May,Doubleclick,N/A,US,Liveramp,BD,Branded,Vertical,,Google DDP Reseller System Account,N/A,ShareThis > Autos & Vehicles > Hybrid & Alternative Vehicles,0.02,1001290149,Autos & Vehicles > Hybrid & Alternative Vehicles,-,-,-,-,Autos & Vehicles,Hybrid & Alternative Vehicles,,,,
2018,Q2,May,Doubleclick,N/A,US,Liveramp,BD,Branded,Vertical,,Nexstar Media Group Inc - DFP,N/A,ShareThis > Food and Drink > Food,0.02,1001266799,Food and Drink > Food,-,-,-,-,Food and Drink,Food,,,,
